what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.jsdt.core,1.0.0.v200805291857,org.eclipse.wst.jsdt.core,1414589772835
started,bundle,org.eclipse.wst.jsdt.ui,1.0.0.v200805282135,org.eclipse.wst.jsdt.ui,1414589772959
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1414589773835
executed,command,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.edit.text.java.rename.element,1414589773855
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1414589775872
executed,command,,,AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction,1414589798584
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1414589800075
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1414589800239
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.saveAll,1414589804290
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.saveAll,1414589844687
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1414589858249
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1414589865333
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.delete,1414589902583
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.delete,1414589904762
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.saveAll,1414589915022
executed,command,,,AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction,1414589920162
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1414589927816
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1414589927972
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1414589928096
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.saveAll,1414589930992
activated,view,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.PackageExplorer,1414589932353
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1414589932573
executed,command,,,AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction,1414589936269
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1414589937855
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1414589939899
