what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.saveAll,1414597831172
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.saveAll,1414597841642
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.saveAll,1414597867866
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.saveAll,1414597875964
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.saveAll,1414597878792
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.cut,1414597882636
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.saveAll,1414597888839
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.saveAll,1414597931127
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.saveAll,1414597955554
activated,view,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.PackageExplorer,1414597982044
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1414597987017
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1414598080220
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.export,1414598080251
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1414598081313
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1414598099388
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1414598296920
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1414598297295
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1414598298045
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1414598299123
started,bundle,org.eclipse.mylyn.ide.ant,3.0.0.v20080619-1900,org.eclipse.mylyn.ide.ant,1414598299185
started,bundle,org.eclipse.mylyn.pde.ui,3.0.0.v20080619-1900,org.eclipse.mylyn.pde.ui,1414598299201
started,bundle,org.eclipse.mylyn.resources.ui,3.0.0.v20080619-1900,org.eclipse.mylyn.resources.ui,1414598299232
closed,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1414598299717
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.102.v200805140135,org.eclipse.jst.j2ee.xdoclet.runtime,1414598300545
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.0.v200805140020,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1414598300545
